ngay,ma,kn_gia_tri,kn_khoi_luong
2026-09-09,NAB,-280125000,-24900
2026-09-09,NKG,-391181750,-36389
2026-09-09,NLG,9049600000,358400
2026-09-09,NT2,972615000,47100
2026-09-09,NVL,-4650308000,-357716
2026-09-09,OCB,-20109403300,-1981222
2026-09-09,ORS,-566390000,-41800
2026-09-09,PDR,-802716000,-66893
2026-09-09,PLX,6039460000,168700
2026-09-09,PNJ,-45090292500,-1188150
2026-09-09,POW,-4846530000,-375700
2026-09-09,PVD,-9569426900,-513106
2026-09-09,PVS,-670272000,-17455
2026-09-09,SAB,62510000,1400
2026-09-09,SHB,-64627620250,-5500223
2026-09-09,SSB,-84322800,-4764
2026-09-09,SSI,-13769338000,-658820
2026-09-09,STB,-57778263400,-753302
2026-09-09,SZC,-54880000,-2800
2026-09-09,TCB,107155483200,3307268
2026-09-09,TPB,-1084067900,-75022
2026-09-09,VCB,-107220128600,-1826578
2026-09-09,VCI,-7831280000,-369400
2026-09-09,VHC,-1693250000,-32500
2026-09-09,VHM,-289201319400,-4011114
2026-09-09,VIB,29254500000,1950300
2026-09-09,VIC,-117523494300,-474459
2026-09-09,VIX,-43268699200,-3181522
2026-09-09,VJC,-3689375000,-29515
2026-09-09,VND,-4778775000,-301500
2026-09-09,VNM,35900222400,585648
2026-09-09,VPB,-50081720000,-1827800
2026-09-09,VRE,19454110000,739700
2026-09-09,VSC,410143500,30381
2026-09-09,VTP,-1342958400,-26646
2026-09-10,ACB,12270025600,547769
2026-09-10,AGR,-44200000,-3400
2026-09-10,ANV,108540000,6700
2026-09-10,BID,5408880000,148800
2026-09-10,BSI,140000000,5000
2026-09-10,BSR,10265480000,378800
2026-09-10,BVH,-1864800000,-29600
2026-09-10,CTD,-5870500000,-99500
2026-09-10,CTG,-74158230900,-2427438
2026-09-10,CTS,591850000,26600
2026-09-10,DBC,-1641750000,-99500
2026-09-10,DCM,2681250000,82500
2026-09-10,DGC,954100000,20300
2026-09-10,DGW,86720980250,1937899
2026-09-10,DIG,-1029961000,-100484
2026-09-10,DPM,-2278080000,-100800
2026-09-10,DXG,3100455000,275596
2026-09-10,EIB,-470115000,-27900
2026-09-10,FPT,222264343000,2983414
2026-09-10,FRT,-17014200000,-121530
2026-09-10,FTS,1095680000,51200
2026-09-10,GAS,-3264714000,-38590
2026-09-10,GEX,8166300000,326000
2026-09-10,GMD,-3878289600,-51573
2026-09-10,HAH,-2491590000,-52900
2026-09-10,HCM,257634800,9796
2026-09-10,HDB,-39622263300,-1443434
2026-09-10,HDG,-1292000000,-80000
2026-09-10,HPG,41542531000,1901260
2026-09-10,HSG,161700000,15400
2026-09-10,IJC,-565600000,-80000
2026-09-10,KBC,-1714500000,-63500
2026-09-10,KDH,-1288600000,-75800
2026-09-10,LPB,6254492400,129896
2026-09-10,MBB,-24618480000,-1224800
2026-09-10,MBS,179550000,10500
2026-09-10,MCH,6375800000,44900
2026-09-10,MSB,-1703702000,-131560
2026-09-10,MSN,39015417000,567910
2026-09-10,MWG,126700200,1738
2026-09-10,NAB,1461375000,129900
2026-09-10,NKG,-700770000,-65800
2026-09-10,NLG,2306400000,93000
2026-09-10,NT2,-486720000,-23400
2026-09-10,NVL,4038755000,314300
2026-09-10,OCB,-330480000,-32400
2026-09-10,ORS,380635000,28300
2026-09-10,PDR,2307600000,192300
2026-09-10,PLX,-323050000,-9100
2026-09-10,PNJ,7637249600,199928
2026-09-10,POW,-3456650000,-269000
2026-09-10,PVD,-3240922500,-175185
2026-09-10,PVS,15034756500,388495
2026-09-10,SAB,977730000,21800
2026-09-10,SHB,-10988600000,-935200
2026-09-10,SSB,9845964000,546998
